#    qT            OS            SS
1.000000e-03  1.423968e-01  6.666740e-02
1.020000e-01  9.858901e+00  4.552384e+00
2.030000e-01  1.535411e+01  7.001139e+00
3.040000e-01  1.934663e+01  8.732883e+00
4.050000e-01  2.232868e+01  9.979644e+00
5.060000e-01  2.465209e+01  1.092570e+01
6.070000e-01  2.642006e+01  1.160791e+01
7.080000e-01  2.774473e+01  1.208728e+01
8.090000e-01  2.874477e+01  1.243166e+01
9.100000e-01  2.944851e+01  1.263942e+01
1.011000e+00  2.987079e+01  1.271397e+01
1.112000e+00  3.007353e+01  1.269480e+01
1.213000e+00  3.015326e+01  1.263785e+01
1.314000e+00  3.008859e+01  1.252159e+01
1.415000e+00  2.985164e+01  1.232498e+01
1.516000e+00  2.949515e+01  1.207764e+01
1.617000e+00  2.904830e+01  1.179280e+01
1.718000e+00  2.857706e+01  1.151070e+01
1.819000e+00  2.805219e+01  1.121540e+01
1.920000e+00  2.748132e+01  1.090146e+01
2.021000e+00  2.685659e+01  1.056628e+01
2.122000e+00  2.617660e+01  1.020812e+01
2.223000e+00  2.546198e+01  9.838801e+00
2.324000e+00  2.473053e+01  9.467404e+00
2.425000e+00  2.400764e+01  9.108950e+00
2.526000e+00  2.330022e+01  8.765332e+00
2.627000e+00  2.259507e+01  8.426444e+00
2.728000e+00  2.188004e+01  8.085100e+00
2.829000e+00  2.115733e+01  7.742988e+00
2.930000e+00  2.043084e+01  7.402057e+00
3.031000e+00  1.970466e+01  7.063579e+00
3.132000e+00  1.898932e+01  6.733360e+00
3.233000e+00  1.827901e+01  6.409248e+00
3.334000e+00  1.759266e+01  6.100865e+00
3.435000e+00  1.692790e+01  5.806297e+00
3.536000e+00  1.627737e+01  5.521068e+00
3.637000e+00  1.564758e+01  5.247823e+00
3.738000e+00  1.503331e+01  4.983484e+00
3.839000e+00  1.443862e+01  4.730348e+00
3.940000e+00  1.387005e+01  4.490529e+00
4.041000e+00  1.331461e+01  4.257034e+00
4.142000e+00  1.277404e+01  4.020682e+00
4.243000e+00  1.224799e+01  3.803050e+00
4.344000e+00  1.174037e+01  3.596307e+00
4.445000e+00  1.121759e+01  3.394769e+00
4.546000e+00  1.074168e+01  3.205979e+00
4.647000e+00  1.028010e+01  3.020304e+00
4.748000e+00  9.836206e+00  2.844257e+00
4.849000e+00  9.406066e+00  2.674859e+00
4.950000e+00  8.995801e+00  2.515884e+00
5.051000e+00  8.605896e+00  2.367477e+00
5.152000e+00  8.234606e+00  2.228416e+00
5.253000e+00  7.876849e+00  2.095856e+00
5.354000e+00  7.532567e+00  1.969409e+00
5.455000e+00  7.202453e+00  1.855710e+00
5.556000e+00  6.887933e+00  1.737068e+00
5.657000e+00  6.581915e+00  1.622026e+00
5.758000e+00  6.289076e+00  1.514122e+00
5.859000e+00  6.008668e+00  1.412192e+00
5.960000e+00  5.740166e+00  1.315479e+00
6.061000e+00  5.476849e+00  1.236294e+00
6.162000e+00  5.217458e+00  1.143487e+00
6.263000e+00  4.962833e+00  1.051745e+00
6.364000e+00  4.719941e+00  9.647141e-01
6.465000e+00  4.480322e+00  8.785754e-01
6.566000e+00  4.257233e+00  7.996511e-01
6.667000e+00  4.017972e+00  7.122918e-01
6.768000e+00  3.798307e+00  6.338363e-01
6.869000e+00  3.586916e+00  5.589508e-01
6.970000e+00  3.383227e+00  4.870887e-01
7.071000e+00  3.190598e+00  4.203024e-01
7.172000e+00  3.005324e+00  3.567841e-01
7.273000e+00  2.829237e+00  2.972830e-01
7.374000e+00  2.661828e+00  2.418742e-01
7.475000e+00  2.506187e+00  1.921678e-01
7.576000e+00  2.358161e+00  1.455806e-01
7.677000e+00  2.218853e+00  1.030290e-01
7.778000e+00  2.085672e+00  6.301139e-02
7.879000e+00  1.955431e+00  2.368279e-02
7.980000e+00  1.831511e+00  -1.311613e-02
8.081000e+00  1.708617e+00  -5.048636e-02
8.182000e+00  1.588477e+00  -8.750597e-02
8.283000e+00  1.469855e+00  -1.247549e-01
8.384000e+00  1.356034e+00  -1.848695e-01
8.485000e+00  1.242115e+00  -2.185068e-01
8.586000e+00  1.131810e+00  -2.497709e-01
8.687000e+00  1.027781e+00  -2.777283e-01
8.788000e+00  9.290290e-01  -3.034314e-01
8.889000e+00  8.337894e-01  -3.271506e-01
8.990000e+00  7.443222e-01  -3.485377e-01
9.091000e+00  6.593720e-01  -3.679204e-01
9.192000e+00  5.794502e-01  -3.862420e-01
9.293000e+00  5.032256e-01  -4.160149e-01
9.394000e+00  3.765053e-01  -4.515844e-01
9.495000e+00  3.086971e-01  -4.681482e-01
9.596000e+00  2.476627e-01  -4.814294e-01
9.697000e+00  2.280429e-01  -4.949520e-01
9.798000e+00  1.685747e-01  -5.067369e-01
9.899000e+00  1.114976e-01  -5.011658e-01
1.000000e+01  5.698042e-02  -5.129255e-01
